6,10,1
6,6,1
6,7,1
7,10,1
7,7,1
8,10,1
8,6,1
9,6,1
9,7,1
11,12,1
11,14,1
12,12,1
12,16,1
14,16,1
14,15,1
16,19,1
17,17,1
18,19,1
19,17,1
20,17,1
21,13,1
39,35,1
39,34,1
40,37,1
41,37,1
41,34,1
42,38,1
42,34,1
43,36,1
43,33,1
44,43,1
45,42,1
46,41,1
47,40,1
48,39,1
49,45,1
50,24,1
51,7,1
52,96,1
53,47,1
54,49,1
55,50,1
55,51,1
58,52,1
64,70,1
65,73,1
65,68,1
66,70,1
67,76,1
68,71,1
70,79,1
71,7,1
72,80,1
73,82,1
74,68,1
75,68,1
76,68,1
77,68,1
83,96,1
84,13,1
88,14,1
89,97,1
90,98,1
91,13,1
92,100,1
93,8,1
94,8,1
95,7,1
96,104,1
97,102,1
