11,6,1
17,6,5
3,11,5
4,12,3
2,13,3
1,14,2
5,15,2
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,24,5
1,39,3
2,39,5
5,39,1
3,40,5
19,40,3
11,41,4
12,41,3
13,41,3
14,42,4
7,43,4
10,43,4
17,43,2
23,44,4
3,45,5
1,49,0
3,49,3
4,49,4
5,49,5
6,49,1
2,50,2
7,50,2
8,50,3
9,50,4
10,50,5
11,51,1
12,51,4
13,51,3
14,51,2
15,51,0
16,52,3
17,52,4
18,52,5
19,52,3
20,52,4
21,53,1
22,53,2
23,53,3
24,53,4
25,53,5
1,54,1
1,54,1
2,55,2
3,56,3
4,57,4
2,58,1
1,58,5
20,60,5
8000,64,3
8050,65,4
7040,66,3
5062,67,1
6035,67,2
1,69,5
0,70,1
2,71,1
4,74,4
1,76,5
2,77,3
10,83,1
8,84,1
1,89,1
1,93,1
7,94,1
